pid,product_name,old_price,c_price,base_price,company_id,company_name
176,"Samarthya Delux Dry Mop With Ss Stick 24""",1104,368,371,7,"Samarthya Cleaning "
177,"Samarthya Dry Mop With Ss Stick 18""",999,333,336,7,"Samarthya Cleaning "
178,"Samarthya Super Duster (Zatakni)",96,32,35,7,"Samarthya Cleaning "
179,"Samarthya Premium Grade Cloth Clip Pigion (12Clip Set )",138,46,49,7,"Samarthya Cleaning "
180,"Samarthya Premium Cloth Clip Sparrow (12Clip Set)",156,52,55,7,"Samarthya Cleaning "
181,"Samarthya Soft Cleaning Lofa",510,170,173,7,"Samarthya Cleaning "
182,"Samarthya Pp Bowl",270,90,93,7,"Samarthya Cleaning "
183,"Samarthya Cloth Clip Bulbul (12Pcs Set)",120,40,43,7,"Samarthya Cleaning "
184,"Samarthya Naylo Green Pad",24,8,11,7,"Samarthya Cleaning "
185,"Samarthya Naylon Scrube And Sponge Pad",45,15,18,7,"Samarthya Cleaning "
186,"Samarthya Premium Scruber",39,13,16,7,"Samarthya Cleaning "
187,"Samarthya Sponge Wipe Pack 3Pcs",210,70,73,7,"Samarthya Cleaning "
